Relatório de Anúncios de Produto - Shopee Brasil,,,,,,,,,,,,,,,,,,,,,,,
Nome de Usuário,,,,,,,,,,,,,,,,,,,,,,,
Nome da loja,,,,,,,,,,,,,,,,,,,,,,,
ID da Loja,,,,,,,,,,,,,,,,,,,,,,,
Nome do Produto / Anúncio,Kit 3 Sutiã Amamentação Renda Sem Bojo Reforçado Gestante Pós Parto,,,,,,,,,,,,,,,,,,,,,,
ID do Produto,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data de Criação do Relatório,,,,,,,,,,,,,,,,,,,,,,,
Período,04/05/2024 - 10/05/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Busca,,,,,,,,,,,,,,,,,,,,,,,
#,Palavras-chave,Tipo de combinação,Consulta de pesquisa,Método de Lance,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,Posicionamento Médio,ROAS,ROAS Direto,ACOS,ACOS Direto
89,amamentação,Correspondência Ampla,sutiã amamentação sem bojo,Lance Manual,43,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
90,amamentação,Correspondência Ampla,sutiã amentacao,Lance Manual,42,3,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,7,0.00,0.00,0.00%,0.00%
91,maternidade,Correspondência Ampla,quarto de bebê,Lance Manual,42,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,24,0.00,0.00,0.00%,0.00%
92,gestante,Correspondência Ampla,ensaio gestante,Lance Manual,42,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,12,0.00,0.00,0.00%,0.00%
93,amamentação,Correspondência Ampla,sutiã pra amamentação,Lance Manual,41,5,12.20%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.67,3,0.00,0.00,0.00%,0.00%
94,amamentação,Correspondência Ampla,kit amamentação,Lance Manual,41,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,19,0.00,0.00,0.00%,0.00%
95,maternidade,Correspondência Ampla,langerie feminino,Lance Manual,41,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,41,0.00,0.00,0.00%,0.00%
96,amamentação,Correspondência Ampla,amamentação sutiã,Lance Manual,40,3,7.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,3,0.00,0.00,0.00%,0.00%
97,maternidade,Correspondência Ampla,camisola feminina,Lance Manual,40,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,37,0.00,0.00,0.00%,0.00%
98,maternidade,Correspondência Ampla,enxoval de bebê menino,Lance Manual,39,1,2.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,35,0.00,0.00,0.00%,0.00%
99,maternidade,Correspondência Ampla,coisas de bebe,Lance Manual,39,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,26,0.00,0.00,0.00%,0.00%
100,maternidade,Correspondência Ampla,saída maternidade mãe,Lance Manual,39,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,25,0.00,0.00,0.00%,0.00%
101,maternidade,Correspondência Ampla,camisola pós parto,Lance Manual,39,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,43,0.00,0.00,0.00%,0.00%
102,amamentação,Correspondência Ampla,sutiã amanentaçao com bojo,Lance Manual,38,3,7.89%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,6,0.00,0.00,0.00%,0.00%
103,maternidade,Correspondência Ampla,roupa de gestante,Lance Manual,38,1,2.63%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,11,0.00,0.00,0.00%,0.00%
104,amamentação,Correspondência Ampla,baby doll amamentação,Lance Manual,38,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,28,0.00,0.00,0.00%,0.00%
